stat	50000		50000		3300.1
CBD	57617.000000	56490.000000	1407.687012
CDP	48895.000000	52418.000000	3006.791992
CDV	53924.000000	47470.000000	1462.938965
DAM	50831.000000	61121.000000	1705.192017
EC10	57276.000000	46590.000000	1015.590027
ECP	48895.000000	52418.000000	3006.791992
MAS	54640.000000	34120.000000	448.679199
MCN	52921.000000	57650.000000	1868.829956
MDZ	46547.000000	47161.000000	1649.060059
MEG	43577.000000	54672.000000	1564.901978
MGL	42485.000000	50572.000000	1475.973022
MMT	43939.000000	57689.000000	1504.328979
MNR	52273.000000	59921.000000	1899.516968
MSP	45511.000000	61147.000000	1417.993042
PDN	51480.000000	54842.000000	2816.396973
PLC	48740.000000	54753.000000	2911.941895
DEGI	43605.600000	54677.700000	1569.250000
DMSC	45249.500000	55514.000000	1667.928955
DPDN	51478.000000	54831.000000	2818.159912
DRUV	39692.500000	52729.000000	1208.401978
AIO	70201.622465	77511.412075	700.881592
ECBD	57925.307291	56409.833152	1378.755981
ECHR	42065.092674	46424.593581	1151.197998
ECNE	50000.000140	55296.541225	2801.858887
ECPN	49118.935737	51968.164489	2942.937988
ECTS	60552.826131	67507.691221	523.815918
ECZM	41188.173873	50863.352520	1301.182983
EFIU	68489.902095	57536.263021	48.613071
EMAS	54414.784548	34217.987333	451.560699
EMCN	52641.413392	57515.923329	1927.598022
EMFO	57929.576434	51971.929463	1132.166016
EMFS	49999.999769	49749.177962	2516.821045
EMNR	52640.344842	60844.375033	1701.010986
EMPL	47354.676551	45311.744496	1457.037964
EMSA	45580.496169	25342.514301	149.572205
EMSG	45599.425689	60845.128395	1451.425049
ENIC	51764.731948	39764.231878	825.874512
EPDN	51761.416361	55296.729594	2578.041992
EPIT	55281.402240	59736.160330	1535.140015
EPMN	65842.075199	60859.210000	444.339905
EPOZ	66755.973635	44218.840475	54.634590
EPZF	37678.388485	60853.182345	973.165771
ESAL	61450.751409	54195.019573	769.279480
ESCV	34142.975996	53092.839875	668.542114
ESLN	47355.031452	46421.205938	1665.880981
ESML	39410.186769	38661.363172	381.147308
ESPC	52644.968424	46421.205856	1547.915039
ESVO	45596.458701	55297.717428	1699.834961
EVRN	62343.190011	46430.002912	324.922089
GALF	12098.875166	48726.704680	690.307678
HLNI	38486.341911	8708.080467	65.882072
LIBRI	43860.868832	89693.558933	801.315613
MPNC	80666.413454	97515.902982	312.391113
MSFR	14017.689738	84222.905617	537.307007
MUCR	38592.547690	85261.092052	974.454712
NOV	62286.619651	84152.838251	677.648193
ECOR	56607.946700	59843.015400	1374.772949
EPZF	39129.258300	61873.679800	1126.588013
ESAL	61850.275400	53651.483000	713.982178
EBAG	64192.297300	47803.505000	236.109207
EBDA	60786.560200	40189.747000	354.647003
ECHR	42324.067600	46008.418000	1114.223022
ECNE	50155.871500	54773.867000	2899.513916
ECPN	48811.541600	52382.831000	2989.226074
ECRI	58924.451300	58272.448000	1199.884033
EDAM	50817.816100	60976.485000	1710.083008
EIIV	57254.000000	26853.000000	33.433880
EINT	49819.654400	49693.743000	2491.757080
ELAC	64697.000000	32156.000000	12.592840
ELIN	61973.756000	43823.863000	296.034912
EMAL	43939.336800	57688.965000	1504.328979
EMCN	52950.545600	57658.732000	1866.512939
EMEG	43584.928700	54668.731000	1566.996948
EMFN	57942.247000	51491.609000	1153.942017
EMGL	42816.322900	50438.954000	1561.063965
EMSG	45560.786000	61011.711000	1432.251953
ENIC	51733.963500	37973.966000	719.735229
EPDN	51478.490100	54831.285000	2818.159912
EPED	55286.000000	38345.000000	601.740112
EPLU	48742.629100	54753.888000	2911.941895
EPOZ	66627.000000	44433.000000	61.680321
ERIP	67413.000000	50703.000000	33.358040
ESCV	33722.876900	52759.389000	599.934692
ESLN	47737.015000	46800.089000	1734.869019
ESML	39350.000000	38444.000000	354.028198
ESPC	52417.722600	46701.536000	1608.525024
ETEC	65705.000000	40667.000000	3.201912

