Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Gleti,Nix,13.00,0.00,0.00,"Crater, craters","Sep 02, 2021",Fon (West African) moon goddess.
Metztli,Nix,10.00,0.00,0.00,"Crater, craters","Sep 02, 2021","Aztec goddess of the Moon, night, and farmers."
