id,name,type,lat,lon,region,catalog_status,evaluation_mode,event_time,magnitude,magnitude_label
T0334a,T0334a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-11-05 03:51:18.0000 UTC,,Magnitude not reported
S0333a,S0333a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-11-04 05:36:58.0000 UTC,1.8,MW 1.8
T0333a,T0333a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-11-04 03:13:28.0000 UTC,,Magnitude not reported
T0332b,T0332b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-11-03 02:40:52.08 UTC,,Magnitude not reported
S0332a,S0332a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-11-03 02:02:27.638879 UTC,1.7,MW 1.7
T0332a,T0332a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-11-03 01:48:53.0000 UTC,,Magnitude not reported
S0331b,S0331b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-11-02 06:52:11.0000 UTC,1.9,MW 1.9
T0331b,T0331b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-11-02 01:57:42.0000 UTC,,Magnitude not reported
T0331a,T0331a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-11-02 01:42:51.0000 UTC,,Magnitude not reported
S0331a,S0331a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-11-01 08:31:01.0000 UTC,2.3,MW 2.3
T0330a,T0330a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-11-01 01:22:46.0000 UTC,,Magnitude not reported
S0330a,S0330a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-10-31 10:19:13.1902 UTC,,Magnitude not reported
S0329a,S0329a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-31 04:31:02.0000 UTC,1.8,MW 1.8
S0329b,S0329b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-10-31 00:41:32.981834 UTC,,Magnitude not reported
T0328a,T0328a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-30 00:00:04.0000 UTC,,Magnitude not reported
S0327d,S0327d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-10-29 04:18:02.510515 UTC,,Magnitude not reported
S0327c,S0327c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-10-29 03:55:01.0000 UTC,1.9,MW 1.9
S0327b,S0327b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-29 01:28:20.0000 UTC,1.7,MW 1.7
S0327a,S0327a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-28 23:22:24.0000 UTC,1.7,MW 1.7
T0327a,T0327a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-28 23:21:11.0000 UTC,,Magnitude not reported
T0326a,T0326a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-27 22:42:23.0000 UTC,,Magnitude not reported
S0325d,S0325d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-27 03:52:00.0000 UTC,1.9,MW 1.9
S0325e,S0325e,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-27 01:58:28.0000 UTC,1.6,MW 1.6
S0325c,S0325c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-27 01:16:25.0000 UTC,1.6,MW 1.6
T0325a,T0325a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-26 22:09:15.0000 UTC,,Magnitude not reported
S0325b,S0325b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-26 04:38:25.0000 UTC,2.2,MW 2.2
S0324e,S0324e,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-26 02:12:37.933238 UTC,,Magnitude not reported
T0324a,T0324a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-25 21:32:32.0000 UTC,,Magnitude not reported
S0324d,S0324d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-25 21:16:19.0000 UTC,1.5,MW 1.5
S0324c,S0324c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-25 08:03:32.084255 UTC,,Magnitude not reported
S0324b,S0324b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-25 06:18:08.75963 UTC,,Magnitude not reported
S0324a,S0324a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-25 05:16:24.085548 UTC,,Magnitude not reported
S0323c,S0323c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-25 00:53:41.0000 UTC,1.6,MW 1.6
S0323d,S0323d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-10-25 00:20:29.0000 UTC,,Magnitude not reported
S0323b,S0323b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-25 00:02:38.0000 UTC,1.7,MW 1.7
S0323a,S0323a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-24 21:08:41.0000 UTC,1.7,MW 1.7
T0323a,T0323a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-24 20:46:53.0000 UTC,,Magnitude not reported
T0322a,T0322a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-23 20:07:08.0000 UTC,,Magnitude not reported
S0322a,S0322a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-23 02:02:10.0000 UTC,2.0,MW 2.0
S0321a,S0321a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-22 19:35:59.0000 UTC,1.6,MW 1.6
T0321a,T0321a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-22 19:30:39.0000 UTC,,Magnitude not reported
S0320b,S0320b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-10-21 20:10:54.380147 UTC,3.0,MW 3.0
T0320a,T0320a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-21 18:50:22.0000 UTC,,Magnitude not reported
S0320a,S0320a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-21 04:53:12.0000 UTC,2.2,MW 2.2
T0319a,T0319a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-20 18:15:30.0000 UTC,,Magnitude not reported
S0319b,S0319b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-20 17:40:35.0000 UTC,2.1,MW 2.1
S0319a,S0319a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-20 03:24:42.0000 UTC,1.9,MW 1.9
S0318a,S0318a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-19 19:21:14.0000 UTC,1.8,MW 1.8
T0318a,T0318a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-19 17:32:17.0000 UTC,,Magnitude not reported
T0317a,T0317a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-18 16:49:54.0000 UTC,,Magnitude not reported
T0316a,T0316a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-17 16:11:23.0000 UTC,,Magnitude not reported
S0315d,S0315d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-16 17:12:54.0000 UTC,1.7,MW 1.7
S0315c,S0315c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-16 15:34:38.047872 UTC,,Magnitude not reported
T0315a,T0315a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-16 15:34:33.0000 UTC,,Magnitude not reported
S0315b,S0315b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-16 15:10:36.0000 UTC,2.0,MW 2.0
S0315a,S0315a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-16 00:18:24.545549 UTC,,Magnitude not reported
S0314b,S0314b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-15 15:36:28.0000 UTC,1.9,MW 1.9
T0314a,T0314a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-10-15 14:55:39.0000 UTC,,Magnitude not reported
S0314a,S0314a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-10-15 14:24:12.0000 UTC,1.7,MW 1.7
