station,x,y,elevation,est. elevation,d_elevation,%error,type,x_model,y_model
CIT,505242,4179808,N/A,1735.25,N/A,#VALUE!,GPS,55242,54808
ESTP,505280,4172062,N/A,1307.51098632812,N/A,#VALUE!,GPS,55280,47062
FOPE,506145,4167883,N/A,810.475524902344,N/A,#VALUE!,GPS,56145,42883
ECOR,506607.9467,4184843.0154,1421.7961,1374.77294921875,47.02315078125,3.30730621509301,GPS,56607.9467,59843.0153999999
CRI,508252,4183203,N/A,1338.52697753906,N/A,#VALUE!,GPS,58252,58203
RPN3,509211,4183626,N/A,1111.57495117188,N/A,#VALUE!,GPS,59211,58626
MIL,509310,4176053,N/A,879.582824707031,N/A,#VALUE!,GPS,59310,51053
RPN2,509349,4184345,N/A,1077.31298828125,N/A,#VALUE!,GPS,59349,59345
PISA,509666,4168643,N/A,459.638397216797,N/A,#VALUE!,GPS,59666,43643
RPN1,509697,4184197,N/A,1045.60498046875,N/A,#VALUE!,GPS,59697,59197
RPN4,509727,4183889,N/A,1054.126953125,N/A,#VALUE!,GPS,59727,58889
RPN5,509828,4183375,N/A,1064.64794921875,N/A,#VALUE!,GPS,59828,58375
ESVN,511199,4171089,N/A,412.984893798828,N/A,#VALUE!,GPS,61199,46089
PER2,511359,4183505,N/A,842.576721191406,N/A,#VALUE!,GPS,61359,58505
PER6,511529,4183719,N/A,812.454223632812,N/A,#VALUE!,GPS,61529,58719
PER1,511618,4183057,N/A,827.761291503906,N/A,#VALUE!,GPS,61618,58057
PER5,511632,4183833,N/A,781.92626953125,N/A,#VALUE!,GPS,61632,58833
PER3,511780,4183595,N/A,784.828918457031,N/A,#VALUE!,GPS,61780,58595
ESAL,511850.2754,4178651.483,757.5505,713.982177734375,43.5683222656251,5.75121028441339,GPS,61850.2754,53651.483
PER4,511894,4183775,N/A,770.861389160156,N/A,#VALUE!,GPS,61894,58775
MOSC,511928,4173822,N/A,464.299987792969,N/A,#VALUE!,GPS,61928,48822
PDAP,512604,4165017,N/A,279.258697509766,N/A,#VALUE!,GPS,62604,40017
SGBO,513675,4167958,N/A,232.240493774414,N/A,#VALUE!,GPS,63675,42958
TERR,513733,4185997,N/A,481.9912109375,N/A,#VALUE!,GPS,63733,60997
SCOR,513800,4180818,N/A,482.449310302734,N/A,#VALUE!,GPS,63800,55818
EBAG,514170,4172804,N/A,236.638595581055,N/A,#VALUE!,GPS,64170,47804
SGMB,514240,4176820,N/A,310.779296875,N/A,#VALUE!,GPS,64240,51820
ISLA,514706,4157124,N/A,21.0750198364258,N/A,#VALUE!,GPS,64706,32124
MANG,514920,4169690,N/A,164.000198364258,N/A,#VALUE!,GPS,64920,44690
ELEO,515207,4171699,N/A,151.53759765625,N/A,#VALUE!,GPS,65207,46699
MDGR,515243,4160699,N/A,82.4553527832031,N/A,#VALUE!,GPS,65243,35699
GIA,515723,4174501,N/A,123.37629699707,N/A,#VALUE!,GPS,65723,49501
SANT,515920,4178538,N/A,94.8173904418945,N/A,#VALUE!,GPS,65920,53538
STAZ,517466,4167441,N/A,2.74797296524048,N/A,#VALUE!,GPS,67466,42441
GONA,517774,4181581,N/A,50.4481010437012,N/A,#VALUE!,GPS,67774,56581
TARC,519072,4174522,N/A,0.266645312309265,N/A,#VALUE!,GPS,69072,49522
SSBI,519327,4183763,N/A,78.8086700439453,N/A,#VALUE!,GPS,69327,58763
ESCV,483722.8769,4177759.389,641.599485,599.934692382812,41.6647926171879,6.49389433615083,GNSS,33722.8769,52759.389
ESML,489350,4163444,414,354.028198242188,59.971801757812,14.4859424535778,GNSS,39350,38444
ECHR,492324.0676,4171008.418,1159.878817,1114.22302246094,45.65579453906,3.9362555699696,GNSS,42324.0676,46008.4180000001
EMGL,492816.3229,4175438.954,1611.180289,1561.06396484375,50.1163241562499,3.11053483576039,GNSS,42816.3229,50438.9539999999
EMEG,493584.9287,4179668.731,1615.153232,1566.99694824219,48.1562837578099,2.98153034670149,GNSS,43584.9287,54668.7310000001
EMAL,493939.3368,4182688.965,1551.103163,1504.32897949219,46.77418350781,3.01554304211099,GNSS,43939.3368,57688.9649999999
EMSG,495560.786,4186011.711,1478.480976,1432.251953125,46.2290228750001,3.1267918644494,GNSS,45560.786,61011.7110000001
ESLN,497737.015,4171800.089,1775.204408,1734.86901855469,40.3353894453101,2.272154646729,GNSS,47737.015,46800.0890000002
