#These data are freely available under tha Creative Commons Attribution 4.0 International Licence (CC BY 4.0)
# when using the data please cite:
# Petricca, Patrizio (2018): Revised dataset of known faults in Italy. GFZ Data Services. http://doi.org/10.5880/fidgeo.2018.003
#
#
#ID	Lf_max [km]	MwInstr_max	MwHist_max	PEMM
E21	0	3.7	0	0
E22	0	2.2	0	0
E23	0	0	0	0
E24	0	0	0	0
E25	0	0	0	0
E26	0	0	0	0
E27	0	0	0	0
E28	0	0	0	0
E29	0	0	0	0
E30	0	0	0	0
E31	0	0	0	0
E32	0	0	0	0
E33	0	0	0	0
E34	0	0	0	0
E35	0	0	0	0
E36	0	0	0	0
E37	0	0	0	0
E38	0	0	0	0
E39	0	0	0	0
E40	0	0	0	0
E41	0	0	0	0
E42	0	0	0	0
E43	0	0	0	0
E44	0	0	0	0
E45	0	0	0	0
E46	0	0	0	0
E47	0	0	0	0
E48	0	0	0	0
E49	0	0	0	0
E50	0	0	0	0
E51	0	0	0	0
E52	0	0	0	0
E53	0	0	0	0
E54	0	0	0	0
E55	0	0	0	0
E56	0	0	0	0
F1	0	0	0	0
F2	0	0	0	0
F3	0	4.1	5.6	0
F4	0	2.7	3.9	0
F5	0	3.1	6.1	0
F6	18.48	3.7	4.3	6.35539
F7	33.62	3.1	0	6.78942
F8	0	2.4	0	0
F9	0	2.9	5.14	0
F10	14.34	4.1	4.45	6.17144
F11	0	4.3	4.93	0
F12	0	2.3	4.72	0
F13	0	2.3	4.72	0
F14	26.29	3.1	4.3	6.61105
F15	36.79	3.3	4.93	6.85477
F16	35.49	3.7	4.72	6.82868
F17	22.94	4.3	0	6.51219
F18	0	2.5	6.73	0
F19	0	3.7	6.04	0
F20	0	2.6	0	0
F21	0	2.9	0	0
F22	0	3.4	0	0
F23	0	3.9	0	0
F24	0	4.7	0	0
F25	0	2.8	0	0
F26	0	0	0	0
F27	0	0	0	0
F28	0	0	0	0
F29	0	0	0	0
F30	0	0	0	0
F31	0	0	0	0
F32	0	0	0	0
F33	0	0	0	0
